time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/disc_loss,train/learning_rate,train/surrogate_reward_std,train/surrogate_reward_mean,train/critic_loss
66,6269.95845538,4575,306,1000.0,306000,-41.72734435272217,295000,0.588432890176773,0.001,0.0366256343571905,0.33918212373554707,3.908976699113846
66,6290.960498760001,4589,307,1000.0,307000,-41.62916082000732,296000,0.5891400218009949,0.001,0.03239684609002397,0.31437470772862436,3.96815643453598
66,6302.002923420001,4612,308,1000.0,308000,-41.71817275238037,297000,0.5950131237506866,0.001,0.03665737805039863,0.3416013552993536,3.918825529098511
66,6315.54728969,4633,309,1000.0,309000,-41.58324153900146,298000,0.6128561735153198,0.001,0.03532657214694215,0.326117673188448,3.879057060241699
66,6328.067044060001,4655,310,1000.0,310000,-41.70640147399902,299000,0.622324013710022,0.001,0.036037918205809295,0.34887773007154466,3.811909436225891
66,6344.06758311,4679,311,1000.0,311000,-41.6098589553833,300000,0.6007940471172333,0.001,0.036422830427519225,0.34265493358671667,3.7909218955039976
66,6358.547642099999,4702,312,1000.0,312000,-41.69302909851074,301000,0.6340793430805206,0.001,0.03435094604023402,0.3280611018240452,3.7724409980773927
66,6373.242344499999,4726,313,1000.0,313000,-41.565111351013186,302000,0.6171052992343903,0.001,0.03702775936165392,0.34496191039681434,3.7472683091163637
66,6395.089719259999,4752,314,1000.0,314000,-41.73708957672119,303000,0.5898325860500335,0.001,0.03715321319935205,0.36067501272261143,3.776574167728424
65,6409.11814514,4774,315,1000.0,315000,-41.59353742218018,304000,0.6375903248786926,0.001,0.03337147942087858,0.33774555613100526,3.708381738424301
65,6419.98314046,4793,316,1000.0,316000,-41.674227920532225,305000,0.6322365462779999,0.001,0.035620281140262985,0.3507434493750334,3.5435548577308653
65,6427.970147720001,4819,317,1000.0,317000,-41.75196863555908,306000,0.6320998430252075,0.001,0.03531069625884138,0.3578626856505871,3.550501660108566
65,6445.99016812,4839,318,1000.0,318000,-41.793760246276854,307000,0.6232746183872223,0.001,0.034710637072220676,0.35912179373204706,3.5060284214019775
65,6452.092364289999,4860,319,1000.0,319000,-41.78362606811523,308000,0.6274854004383087,0.001,0.03563777063655835,0.35522335237264635,3.547679209947586
65,6459.2612420899995,4881,320,1000.0,320000,-41.6312276763916,309000,0.6390930056571961,0.001,0.03509505413343129,0.3431643554270267,3.5593740538358687
65,6469.452094379999,4902,321,1000.0,321000,-41.706916305541995,310000,0.634869784116745,0.001,0.03297140983276005,0.3357368404120207,3.437359065890312
65,6476.31149683,4922,322,1000.0,322000,-41.67630807495117,311000,0.6424208343029022,0.001,0.0350092084727183,0.3493268517255783,3.4571636650562287
65,6492.338961840001,4945,323,1000.0,323000,-41.6325064239502,312000,0.613685667514801,0.001,0.03571751713228697,0.3746503738164902,3.464822960615158
65,6503.70569758,4967,324,1000.0,324000,-41.58895485687256,313000,0.6554384350776672,0.001,0.03490822736369352,0.3566449819803238,3.4854805471897126
65,6514.664369770001,4983,325,1000.0,325000,-41.65154718780518,314000,0.6741631031036377,0.001,0.03605373912747271,0.38039450567960736,3.4252689200639725
65,6521.575573290001,4995,326,1000.0,326000,-41.67384647369385,315000,0.664072448015213,0.001,0.03576863664196835,0.3914534712731838,3.36272712290287
65,6528.203755110002,5007,327,1000.0,327000,-41.66543109893799,316000,0.6457976400852203,0.001,0.03697542682567396,0.3762465372085571,3.479361718416214
65,6534.858226040001,5023,328,1000.0,328000,-41.74859575653076,317000,0.6812292695045471,0.001,0.0331403399253665,0.3616756971478462,3.339561311125755
65,6542.223427190001,5033,329,1000.0,329000,-41.681608894348145,318000,0.677636694908142,0.001,0.03234143385120463,0.3631933178603649,3.3221841002702712
65,6550.235273630002,5043,330,1000.0,330000,-41.663865043640136,319000,0.6453136503696442,0.001,0.03598048105319486,0.3755463944375515,3.436047717690468
65,6558.693238360001,5053,331,1000.0,331000,-41.70811045074463,320000,0.6764277517795563,0.001,0.03256851199206597,0.35316672483086586,3.3484033007621763
65,6564.943414210001,5063,332,1000.0,332000,-41.640243782043456,321000,0.6639193058013916,0.001,0.03564815063270825,0.3686515617072582,3.2613984817266464
65,6572.008258649999,5073,333,1000.0,333000,-41.527400352478026,322000,0.6714355766773223,0.001,0.03319127720701555,0.35978584638237954,3.297107223987579
65,6577.07095084,5083,334,1000.0,334000,-41.565731521606445,323000,0.6914709627628326,0.001,0.03558380042603197,0.3744641121327877,3.200735759496689
65,6581.217777939997,5093,335,1000.0,335000,-41.27807751464844,324000,0.6841813921928406,0.001,0.03300466648996002,0.3694536256194115,3.277241014957428
65,6611.27461144,5103,336,1000.0,336000,-41.36723023223877,325000,0.6879437088966369,0.001,0.03531184795132135,0.36815896174311635,3.2224118732213975
65,6617.189168019999,5113,337,1000.0,337000,-41.25673377990723,326000,0.6814994394779206,0.001,0.03572431615196183,0.38785638877749445,3.1674673527479174
65,6623.8628104300005,5123,338,1000.0,338000,-41.11020377349853,327000,0.6962669014930725,0.001,0.033202607464422704,0.35169987562298777,3.0689031249284744
66,6629.232323849999,5133,339,1000.0,339000,-41.186273239135744,328000,0.6755545675754547,0.001,0.033899494675327504,0.3872378827929497,2.9412326101064683
66,6647.628175570001,5143,340,1000.0,340000,-41.252808822631835,329000,0.6812201261520385,0.001,0.0348943572732123,0.38787446758151056,2.975657902956009
66,6651.71456518,5153,341,1000.0,341000,-41.133070533752445,330000,0.6915657937526702,0.001,0.035684287741703645,0.39160814869403837,2.964388448596001
66,6656.440555769999,5164,342,1000.0,342000,-41.04410981750488,331000,0.6900817453861237,0.001,0.03627788429079974,0.39126185223460197,2.908983173251152
66,6659.261039019999,5174,343,1000.0,343000,-41.18872372436523,332000,0.6911862611770629,0.001,0.03467229454024657,0.3913721968531609,2.9013980464935303
66,6665.19555141,5184,344,1000.0,344000,-41.174700546264646,333000,0.6979660451412201,0.001,0.03715545638101149,0.3956385436058044,2.8007238503694536
66,6669.3323642099995,5194,345,1000.0,345000,-41.04571548461914,334000,0.7340120851993561,0.001,0.03516357777424142,0.3939505563676357,2.7651924958229066
66,6673.919084430002,5204,346,1000.0,346000,-41.20574369049072,335000,0.7127335965633392,0.001,0.03585765859156479,0.4032167871594429,2.7465040959119795
66,6680.484109459999,5218,347,1000.0,347000,-41.10397891235352,336000,0.7240345716476441,0.001,0.03189676598990577,0.3761071515083313,2.740962263941765
66,6683.172848159999,5228,348,1000.0,348000,-41.19045863342285,337000,0.6957233786582947,0.001,0.03454383173370096,0.38375543826818465,2.7085400273799896
66,6684.666022419999,5238,349,1000.0,349000,-41.087704460144046,338000,0.7136917233467102,0.001,0.03546921478147893,0.4036321029663086,2.7340772317647932
66,6691.687083729999,5250,350,1000.0,350000,-41.1525405960083,339000,0.7159067511558532,0.001,0.034624107158711455,0.38051813539862633,2.7298185241222384
66,6693.728194079999,5261,351,1000.0,351000,-41.137719329833985,340000,0.7160340309143066,0.001,0.036713179669587453,0.4111783582866192,2.682693717479706
66,6699.24718595,5271,352,1000.0,352000,-41.21227574157715,341000,0.7067970037460327,0.001,0.03582463678143096,0.41230686736106875,2.6902452961206436
66,6699.360721980001,5289,353,1000.0,353000,-41.215446853637694,342000,0.7273850381374359,0.001,0.03359178244911757,0.3925728552043438,2.616239316344261
66,6705.825434879999,5304,354,1000.0,354000,-41.092471481323244,343000,0.7428717136383056,0.001,0.033976714745251255,0.3862590406835079,2.556171608567238
66,6711.660072399999,5317,355,1000.0,355000,-40.99824645233154,344000,0.7379551947116851,0.001,0.03135886328878879,0.37491768682003024,2.577700325131416
66,6715.896877409999,5332,356,1000.0,356000,-41.01541316223145,345000,0.7297590494155883,0.001,0.03531524330801289,0.40239057141542434,2.5801183326244352
66,6720.313837270001,5349,357,1000.0,357000,-40.86996228790283,346000,0.7618392169475555,0.001,0.03226826704088621,0.36415866848826406,2.500986675143242
66,6723.906443200002,5362,358,1000.0,358000,-41.16786759185791,347000,0.7210534811019897,0.001,0.037150666611177274,0.43181748035550116,2.447451233506203
66,6725.957754830001,5392,359,1000.0,359000,-41.26704345703125,348000,0.7502756416797638,0.001,0.035930877817697514,0.4190452225506306,2.4982642053365707
66,6733.474535380001,5414,360,1000.0,360000,-41.29292398834229,349000,0.7446743369102478,0.001,0.03412259150243878,0.40735818940401075,2.4933897095918653
66,6738.775974770001,5439,361,1000.0,361000,-41.26828907012939,350000,0.7671053767204284,0.001,0.03401738425179234,0.3919780412316322,2.3781828926801682
